Temperature (?C),Humidity (%),Light Intensity (lux),year,month,day,day_of_week,hour,minute,quarter,week_of_year,is_weekend
21.75,63.11,646.86,2024,2,18,6,8,0,1,7,True
27.51,68.03,845.45,2024,2,18,6,8,5,1,7,True
25.32,53.51,560.03,2024,2,18,6,8,10,1,7,True
23.99,58.52,499.84,2024,2,18,6,8,15,1,7,True
19.56,69.34,411.36,2024,2,18,6,8,20,1,7,True
19.56,39.04,830.22,2024,2,18,6,8,25,1,7,True
18.58,66.19,620.34,2024,2,18,6,8,30,1,7,True
26.66,52.37,959.53,2024,2,18,6,8,35,1,7,True
24.01,37.51,171.67,2024,2,18,6,8,40,1,7,True
25.08,41.57,788.55,2024,2,18,6,8,45,1,7,True
18.21,57.52,766.71,2024,2,18,6,8,50,1,7,True
27.7,66.88,178.52,2024,2,18,6,8,55,1,7,True
26.32,34.76,376.13,2024,2,18,6,9,0,1,7,True
20.12,55.57,583.32,2024,2,18,6,9,5,1,7,True
19.82,45.08,618.56,2024,2,18,6,9,10,1,7,True
19.83,42.87,837.21,2024,2,18,6,9,15,1,7,True
21.04,37.2,488.35,2024,2,18,6,9,20,1,7,True
23.25,65.53,824.81,2024,2,18,6,9,25,1,7,True
22.32,44.57,610.91,2024,2,18,6,9,30,1,7,True
20.91,47.73,870.69,2024,2,18,6,9,35,1,7,True
24.12,38.3,855.8,2024,2,18,6,9,40,1,7,True
19.39,54.31,862.59,2024,2,18,6,9,45,1,7,True
20.92,47.61,643.61,2024,2,18,6,9,50,1,7,True
21.66,37.72,380.13,2024,2,18,6,9,55,1,7,True
22.56,42.42,836.53,2024,2,18,6,10,0,1,7,True
25.85,45.65,252.39,2024,2,18,6,10,5,1,7,True
20.0,33.08,623.28,2024,2,18,6,10,10,1,7,True
23.14,32.07,596.76,2024,2,18,6,10,15,1,7,True
23.92,69.7,374.1,2024,2,18,6,10,20,1,7,True
18.46,67.11,410.71,2024,2,18,6,10,25,1,7,True
24.08,53.73,341.19,2024,2,18,6,10,30,1,7,True
19.71,39.79,692.56,2024,2,18,6,10,35,1,7,True
18.65,39.3,303.19,2024,2,18,6,10,40,1,7,True
27.49,47.62,550.4351789883675,2024,2,18,6,10,45,1,7,True
27.66,45.45,163.34,2024,2,18,6,10,50,1,7,True
26.08,59.32,919.27,2024,2,18,6,10,55,1,7,True
21.05,46.28,965.82,2024,2,18,6,11,0,1,7,True
18.98,68.21,209.85,2024,2,18,6,11,5,1,7,True
24.84,40.12,401.93,2024,2,18,6,11,10,1,7,True
22.4,31.07,650.29,2024,2,18,6,11,15,1,7,True
19.22,54.13,509.94,2024,2,18,6,11,20,1,7,True
22.95,69.52,250.86,2024,2,18,6,11,25,1,7,True
18.34,64.06,298.66,2024,2,18,6,11,30,1,7,True
27.09,30.21,425.94,2024,2,18,6,11,35,1,7,True
20.59,53.01,342.05,2024,2,18,6,11,40,1,7,True
24.63,48.15,827.53,2024,2,18,6,11,45,1,7,True
21.12,60.73,538.89,2024,2,18,6,11,50,1,7,True
23.2,40.11,435.0,2024,2,18,6,11,55,1,7,True
23.47,39.75,818.08,2024,2,18,6,12,0,1,7,True
19.85,42.67,941.32,2024,2,18,6,12,5,1,7,True
27.7,39.85,603.52,2024,2,18,6,12,10,1,7,True
25.75,30.88,384.94,2024,2,18,6,12,15,1,7,True
27.39,55.13,550.4351789883675,2024,2,18,6,12,20,1,7,True
26.95,54.51,111.07,2024,2,18,6,12,25,1,7,True
