temperature,humidity,year,month,day_of_week,hour,quarter,is_weekend,comfort
23.718,60.385,2023,6,5,1,2,1,8
23.715,60.377,2023,6,5,2,2,1,8
23.716,60.358,2023,6,5,2,2,1,8
23.719,60.426,2023,6,5,2,2,1,8
23.712,60.435,2023,6,5,2,2,1,8
23.705,60.458,2023,6,5,2,2,1,8
23.705,60.46,2023,6,5,2,2,1,8
23.706,60.465,2023,6,5,2,2,1,8
23.704,60.531,2023,6,5,2,2,1,8
23.704,60.57,2023,6,5,2,2,1,8
23.7,60.539,2023,6,5,2,2,1,8
23.698,60.583,2023,6,5,2,2,1,8
23.695,60.612,2023,6,5,2,2,1,8
23.692,60.643,2023,6,5,2,2,1,8
23.69,60.785,2023,6,5,2,2,1,8
23.686,60.837,2023,6,5,2,2,1,8
23.679,60.845,2023,6,5,2,2,1,8
23.666,60.858,2023,6,5,2,2,1,8
23.655,60.843,2023,6,5,2,2,1,8
23.649,60.868,2023,6,5,2,2,1,8
23.642,60.944,2023,6,5,2,2,1,8
23.626,60.964,2023,6,5,2,2,1,8
23.612,60.978,2023,6,5,2,2,1,8
23.586,61.48,2023,6,5,2,2,1,8
23.419,62.143,2023,6,5,2,2,1,8
23.171,62.814,2023,6,5,2,2,1,8
22.915,63.615,2023,6,5,2,2,1,9
22.709,64.35,2023,6,5,2,2,1,9
22.571,64.772,2023,6,5,2,2,1,9
22.46,65.147,2023,6,5,2,2,1,9
22.373,65.432,2023,6,5,2,2,1,9
22.292,65.733,2023,6,5,3,2,1,9
22.22,66.077,2023,6,5,3,2,1,9
22.18,66.13,2023,6,5,3,2,1,9
22.158,66.161,2023,6,5,3,2,1,9
22.136,66.238,2023,6,5,3,2,1,9
22.116,66.27,2023,6,5,3,2,1,9
22.105,66.273,2023,6,5,3,2,1,9
22.086,66.273,2023,6,5,3,2,1,9
22.066,66.374,2023,6,5,3,2,1,9
22.039,66.418,2023,6,5,3,2,1,9
22.011,66.599,2023,6,5,3,2,1,9
21.986,66.686,2023,6,5,3,2,1,9
21.978,66.458,2023,6,5,3,2,1,9
21.965,65.949,2023,6,5,3,2,1,9
21.937,65.615,2023,6,5,3,2,1,9
21.918,65.54,2023,6,5,3,2,1,9
21.901,65.578,2023,6,5,3,2,1,9
21.893,65.626,2023,6,5,3,2,1,9
21.887,65.622,2023,6,5,3,2,1,9
21.881,65.645,2023,6,5,3,2,1,9
21.885,65.692,2023,6,5,3,2,1,9
21.902,65.772,2023,6,5,3,2,1,9
21.925,65.78,2023,6,5,3,2,1,9
21.953,65.777,2023,6,5,3,2,1,9
21.973,65.776,2023,6,5,3,2,1,9
21.981,65.775,2023,6,5,3,2,1,9
21.986,65.774,2023,6,5,3,2,1,9
21.985,65.735,2023,6,5,3,2,1,9
21.959,65.673,2023,6,5,3,2,1,9
21.92,65.723,2023,6,5,3,2,1,9
