Timestamp,Temperature (?C),Humidity (%),CO2 (ppm),PM2.5 (?g/m?),PM10 (?g/m?),TVOC (ppb),CO (ppm),Light Intensity (lux),Motion Detected,Occupancy Count,Ventilation Status
18-02-2024 08:00,21.75,63.11,989.74,31.17,89.66,226.83,2.84,646.86,0,49,Open
18-02-2024 08:05,27.51,68.03,924.59,27.32,44.82,116.76,3.12,845.45,1,11,Open
18-02-2024 08:10,25.32,53.51,604.05,73.84,71.08,56.59,3.59,560.03,1,29,Closed
18-02-2024 08:15,23.99,58.52,692.2,62.94,10.9,228.06,2.66,499.84,1,28,Closed
18-02-2024 08:20,19.56,69.34,533.12,26.56,88.06,267.26,1.76,411.36,1,16,Closed
18-02-2024 08:25,19.56,39.04,841.92,25.82,61.36,87.23,3.1,830.22,1,33,
18-02-2024 08:30,18.58,66.19,677.37,62.7,61.55,276.81,4.16,620.34,1,22,Closed
18-02-2024 08:35,26.66,52.37,607.25,18.14,77.28,248.61,4.29,959.53,1,2,Open
18-02-2024 08:40,24.01,37.51,738.58,5.77,12.64,276.6,1.81,171.67,0,37,Closed
18-02-2024 08:45,25.08,41.57,821.62,48.15,80.83,306.08,3.1,788.55,1,26,Closed
18-02-2024 08:50,18.21,57.52,476.44,37.1,20.31,383.12,4.34,766.71,1,7,Closed
18-02-2024 08:55,27.7,66.88,890.25,5.59,67.58,489.96,2.07,178.52,0,6,Open
18-02-2024 09:00,26.32,34.76,461.93,49.91,74.41,92.15,3.26,376.13,0,6,Open
18-02-2024 09:05,20.12,55.57,911.43,35.34,53.18,356.84,4.41,583.32,1,36,Open
18-02-2024 09:10,19.82,45.08,485.39,19.72,27.18,274.55,3.86,618.56,1,20,Open
18-02-2024 09:15,19.83,42.87,404.95,9.43,67.73,496.37,1.6,837.21,0,5,Closed
18-02-2024 09:20,21.04,37.2,724.59,48.22,79.9,68.43,4.92,488.35,1,41,Open
18-02-2024 09:25,23.25,65.53,551.2,56.21,15.32,458.38,2.97,824.81,1,36,Closed
18-02-2024 09:30,22.32,44.57,765.21,57.42,33.43,191.17,3.34,610.91,1,20,Open
18-02-2024 09:35,20.91,47.73,444.56,20.76,96.23,391.23,2.54,870.69,1,17,Closed
18-02-2024 09:40,24.12,38.3,683.11,50.74,49.35,473.86,3.17,855.8,1,31,Closed
18-02-2024 09:45,19.39,54.31,786.65,22.14,66,114,2.77,862.59,1,5,
18-02-2024 09:50,20.92,47.61,688.78,60.58,53.06,496.55,1.72,643.61,1,,Open
18-02-2024 09:55,21.66,37.72,588.88,26.8,11.38,338.37,3.34,380.13,0,36,Closed
18-02-2024 10:00,22.56,42.42,750.56,74.67,94.5,191.21,3.97,836.53,1,46,Closed
18-02-2024 10:05,25.85,45.65,997.5,59.46,19.11,217.74,3.22,252.39,1,15,Closed
18-02-2024 10:10,20,33.08,537.98,62.35,29.91,87.66,3.84,623.28,1,5,Closed
18-02-2024 10:15,23.14,32.07,561.67,28.72,52.26,366.38,3.95,596.76,0,47,Closed
18-02-2024 10:20,23.92,69.7,788.31,41.57,24.05,89.23,1.91,374.1,0,1,Open
18-02-2024 10:25,18.46,67.11,929.87,,43.79,241.33,3.17,410.71,0,44,Closed
18-02-2024 10:30,24.08,53.73,593.57,23.28,78.05,367.27,3.39,341.19,0,18,Open
18-02-2024 10:35,19.71,39.79,745.54,,86.31,471.57,1.14,692.56,0,41,Closed
18-02-2024 10:40,18.65,39.3,911.55,20.14,63.6,144.68,2.51,303.19,0,49,Open
18-02-2024 10:45,27.49,47.62,941.78,30,91.35,157.24,2.61,,1,15,Closed
18-02-2024 10:50,27.66,45.45,924.54,38.56,84.77,327.05,1.69,163.34,1,26,Open
18-02-2024 10:55,26.08,59.32,693.44,8.92,13.47,466.7,0.63,919.27,0,30,Closed
18-02-2024 11:00,21.05,46.28,566.46,53.89,27.46,201.48,1.62,965.82,0,19,Closed
18-02-2024 11:05,18.98,68.21,631.92,43.29,98.93,484.36,3.43,209.85,,40,Closed
18-02-2024 11:10,24.84,40.12,667.53,61.01,12.58,444.5,2.29,401.93,1,15,Open
18-02-2024 11:15,22.4,31.07,661.33,62.93,29.44,255.85,2.03,650.29,0,25,Open
18-02-2024 11:20,19.22,54.13,466.82,48.05,60.51,219.73,0.94,509.94,0,20,Closed
18-02-2024 11:25,22.95,69.52,761.11,10.97,56.94,216.19,1.68,250.86,1,13,Closed
18-02-2024 11:30,18.34,64.06,730.27,60.65,12.54,88.43,0.65,298.66,1,26,Open
18-02-2024 11:35,27.09,30.21,986.88,49.45,69.84,427.82,3.7,425.94,0,1,Closed
18-02-2024 11:40,20.59,53.01,911.4,52.26,64.75,233.6,0.58,342.05,1,22,Closed
18-02-2024 11:45,24.63,48.15,498.32,11.62,85.51,231.45,4.35,827.53,0,4,Closed
18-02-2024 11:50,21.12,60.73,838.86,70.28,,244.46,2,538.89,0,5,Open
18-02-2024 11:55,23.2,40.11,700.14,19.38,94.18,435.04,0.85,435,0,22,Open
18-02-2024 12:00,23.47,39.75,512.11,49.18,62.36,288.02,2.7,818.08,1,36,Open
18-02-2024 12:05,19.85,42.67,461.93,56.67,67.39,377.72,0.79,941.32,1,7,Open
18-02-2024 12:10,27.7,39.85,606.67,9.29,30.96,362.11,4.82,603.52,0,47,Closed
18-02-2024 12:15,25.75,30.88,817.48,33.33,60.56,371.62,4.85,384.94,0,24,Open
18-02-2024 12:20,27.39,55.13,648.22,45.31,37.67,313.94,1.57,,0,21,Closed
18-02-2024 12:25,26.95,54.51,952.62,5.1,91.44,176.78,3.47,111.07,0,22,Open
18-02-2024 12:30,23.98,,638.67,5.1,91.6,208.39,,102.67,1,42,Closed
18-02-2024 12:35,27.22,57.91,922.13,34.68,16.04,300.48,3.35,381.24,1,21,Open
